"genome" "count"
"135" "TG3_21:bin_000040" 0
"136" "TG3_21:bin_000048" 0
"137" "TG3_28:bin_000041" 0.99569511405544
"138" "TG3_28:bin_000042" 0.87744075811688
"139" "TG3_28:bin_000052" 0
"140" "TG3_35:bin_000008" 0.223798168330798
"141" "TG3_35:bin_000014" 8.25126815610777
"142" "TG3_35:bin_000020" 3.20025363648933
"143" "TG3_35:bin_000025" 0.938995338012288
"144" "TG4:bin_000031" 0
"145" "TG4:bin_000053" 0
"146" "TG4:bin_000055" 0
"147" "TG4:bin_000057" 0
"148" "TG4_07:bin_000019" 3.01311930709908
"149" "TG4_07:bin_000020" 3.5816389424076
"150" "TG4_14:bin_000026" 3.17683391868475
"151" "TG4_21:bin_000016" 0
"152" "TG4_21:bin_000032" 0
"153" "TG4_21:bin_000040" 0
"154" "TG4_21:bin_000043" 0
"155" "TG4_28:bin_000008" 0
"156" "TG4_35:bin_000014" 0
"157" "TG5:bin_000003" 0.948645896239565
"158" "TG5:bin_000041" 4.96387279188513
"159" "TG5:bin_000044" 0
"160" "TG5:bin_000047" 0
"161" "TG5_14:bin_000004" 2.09700805445957
"162" "TG5_14:bin_000008" 0
"163" "TG5_14:bin_000013" 1.50846628463781
"164" "TG5_14:bin_000020" 1.23385735594285
"165" "TG5_14:bin_000027" 3.44099559798362
"166" "TG5_21:bin_000003" 11.7549769042578
"167" "TG5_21:bin_000004" 23.2493840538352
"168" "TG5_21:bin_000007" 1.85521739065964
"169" "TG5_28:bin_000004" 0.524388224194002
"170" "TG5_28:bin_000015" 1.0527697872238
"171" "TG5_28:bin_000030" 0
"172" "TG5_35:bin_000001" 0
"173" "TG5_35:bin_000022" 0
"174" "TG5_35:bin_000028" 0
