genome	D300418_bin_000017	D300419_bin_000008	D300423_bin_000007	D300423_bin_000011	D300423_bin_000014	D300425_bin_000002	D300428_bin_000005	D300429_bin_000001	D300431_bin_000017	D300432_bin_000001	D300432_bin_000002	D300433_bin_000005	D300433_bin_000009	D300437_bin_000010	D300440_bin_000012	D300442_bin_000001	D300442_bin_000011	D300443_bin_000002	D300444_bin_000010	D300444_bin_000011	D300446_bin_000001	D300449_bin_000002	D300449_bin_000011	D300450_bin_000002	D300451_bin_000001	D300455_bin_000019	D300457_bin_000005	D300458_bin_000006	D300458_bin_000008	D300458_bin_000017	D300458_bin_000021	D300459_bin_000001	D300463_bin_000012	D300464_bin_000017	D300467_bin_000021	D300472_bin_000003	D300474_bin_000002	D300474_bin_000012	D300476_bin_000004	D300476_bin_000013	D300477_bin_000001	D300477_bin_000007	D300478_bin_000014	D300479_bin_000001	D300479_bin_000012	D300482_bin_000009	D300484_bin_000011	D300490_bin_000001	D300491_bin_000007	D300492_bin_000001	D300492_bin_000002	D300492_bin_000003	D300493_bin_000014	D300494_bin_000016	D300495_bin_000001	D300495_bin_000003	D300495_bin_000005	D300495_bin_000010	D300497_bin_000007	D300498_bin_000001	D300499_bin_000015	D300501_bin_000003	D300501_bin_000005	D300503_bin_000003	D300505_bin_000008	D300508_bin_000006	D300509_bin_000001	D300512_bin_000003	D300512_bin_000015	D300512_bin_000016	D300513_bin_000002	D300514_bin_000001	D300514_bin_000003	D300514_bin_000005	D300517_bin_000003	D300517_bin_000004	D300517_bin_000013	D300517_bin_000015	D300519_bin_000004	D300521_bin_000006	D300522_bin_000007	D300525_bin_000012	D300526_bin_000014	D300527_bin_000004	TG1_21_bin_000001	TG1_21_bin_000012	TG1_21_bin_000022	TG1_21_bin_000035	TG1_28_bin_000007	TG1_28_bin_000038	TG1_35_bin_000022	TG1_bin_000020	TG1_bin_000032	TG1_bin_000045	TG1_bin_000046	TG1_bin_000047	TG1_bin_000049	TG1_bin_000059	TG1_bin_000065	TG1_bin_000066	TG2_21_bin_000001	TG2_21_bin_000003	TG2_21_bin_000011	TG2_21_bin_000030	TG2_21_bin_000033	TG2_28_bin_000003	TG2_28_bin_000016	TG2_35_bin_000002	TG2_35_bin_000003	TG2_35_bin_000021	TG2_bin_000029	TG2_bin_000046	TG2_bin_000054	TG2_bin_000055	TG2_bin_000056	TG2_bin_000059	TG3_07_bin_000023	TG3_14_bin_000007	TG3_21_bin_000001	TG3_21_bin_000003	TG3_21_bin_000008	TG3_21_bin_000030	TG3_21_bin_000040	TG3_21_bin_000048	TG3_28_bin_000041	TG3_28_bin_000042	TG3_28_bin_000052	TG3_35_bin_000008	TG3_35_bin_000014	TG3_35_bin_000020	TG3_35_bin_000025	TG3_bin_000005	TG3_bin_000006	TG3_bin_000008	TG3_bin_000014	TG3_bin_000026	TG3_bin_000034	TG3_bin_000048	TG3_bin_000050	TG3_bin_000065	TG3_bin_000069	TG3_bin_000079	TG4_07_bin_000019	TG4_07_bin_000020	TG4_14_bin_000026	TG4_21_bin_000016	TG4_21_bin_000032	TG4_21_bin_000040	TG4_21_bin_000043	TG4_28_bin_000008	TG4_35_bin_000014	TG4_bin_000031	TG4_bin_000053	TG4_bin_000055	TG4_bin_000057	TG5_14_bin_000004	TG5_14_bin_000008	TG5_14_bin_000013	TG5_14_bin_000020	TG5_14_bin_000027	TG5_21_bin_000003	TG5_21_bin_000004	TG5_21_bin_000007	TG5_28_bin_000004	TG5_28_bin_000015	TG5_28_bin_000030	TG5_35_bin_000001	TG5_35_bin_000022	TG5_35_bin_000028	TG5_bin_000003	TG5_bin_000041	TG5_bin_000044	TG5_bin_000047
D300418_bin_000013	3	5	2	9	3	3	3	1	4	5	5	9	6	3	6	1	2	4	6	8	1	6	4	6	6	8	6	6	1	2	3	10	2	4	7	4	3	3	2	5	3	7	1	10	7	3	3	1	8	9	2	4	5	7	5	3	4	1	3	2	9	4	5	2	4	3	2	3	3	6	6	9	3	1	6	3	2	2	3	5	2	3	4	3	2	2	7	7	3	4	6	10	2	4	4	6	9	6	8	4	3	4	4	5	5	2	3	4	4	4	9	4	8	9	6	4	6	9	2	5	9	4	1	2	5	2	1	4	7	4	5	5	4	8	5	3	1	5	6	4	2	14	1	3	4	3	4	6	5	3	2	5	2	10	5	7	6	6	6	4	3	3	3	9	6	4	4	3	1	3	4	5	4
D300418_bin_000017	0	4	3	3	4	4	5	2	5	4	3	4	3	5	4	1	3	4	5	8	4	2	2	5	8	7	2	4	2	3	2	10	7	6	5	4	1	5	4	3	6	9	2	6	6	1	5	2	6	7	2	1	6	3	8	1	5	1	6	2	2	6	3	2	0	4	3	3	2	6	1	8	4	4	6	2	5	5	6	7	3	5	4	2	3	4	4	3	1	5	7	7	4	4	4	2	8	10	7	8	3	3	0	4	6	3	4	6	5	3	10	6	8	5	2	1	3	5	3	4	7	2	4	1	2	2	3	6	8	5	8	3	5	9	6	1	2	3	2	3	3	8	6	1	6	1	1	6	5	3	4	4	2	4	2	3	2	3	6	5	1	3	3	6	2	3	5	3	5	2	3	4	4
D300419_bin_000008	0	0	3	4	2	2	5	5	2	5	5	6	1	4	4	5	3	2	3	6	4	3	2	6	10	9	3	5	3	3	4	12	6	1	3	5	2	3	2	4	3	7	3	6	2	4	3	1	2	7	3	1	2	4	4	1	2	2	4	2	5	4	5	4	2	0	4	6	5	3	3	3	3	1	5	6	2	4	7	2	2	3	5	7	1	4	4	1	2	3	4	12	7	3	9	3	9	8	6	7	4	6	5	4	5	4	5	9	2	3	7	2	9	8	5	2	3	8	1	7	11	5	4	3	5	3	4	2	2	6	4	8	6	4	3	4	4	4	1	4	4	12	7	4	4	2	5	2	2	2	4	8	4	10	6	10	3	3	7	3	2	5	3	7	5	6	8	1	4	5	3	4	6
D300423_bin_000007	0	0	0	3	5	3	2	7	4	4	2	5	2	4	1	1	1	4	1	5	1	2	4	5	4	5	1	3	2	2	4	7	3	5	6	7	1	1	0	3	4	2	2	4	3	3	8	6	9	4	1	2	6	3	4	2	4	2	4	1	1	7	2	3	1	5	1	3	1	3	2	5	2	6	6	3	4	4	3	12	1	6	1	9	3	2	4	2	1	3	4	7	2	2	7	2	7	9	6	7	3	4	1	1	1	6	3	4	3	3	6	4	7	7	3	7	1	2	4	5	6	5	7	4	3	0	3	5	8	4	4	5	5	6	5	5	1	4	1	5	1	8	6	0	1	0	4	4	1	3	2	4	1	4	5	3	3	4	6	4	3	4	1	4	1	3	4	0	7	5	4	3	3
D300423_bin_000011	0	0	0	0	5	3	5	3	5	4	2	4	0	6	4	4	4	5	4	8	1	4	5	6	8	7	0	3	5	1	4	8	4	2	6	4	3	4	4	2	2	8	4	6	6	2	1	4	5	3	1	2	3	6	8	3	6	4	4	1	1	2	3	5	2	1	4	7	3	2	2	5	6	6	3	6	5	10	7	7	1	5	6	4	2	7	5	1	3	6	3	6	2	5	4	3	9	11	10	10	1	3	5	1	4	4	0	5	2	0	10	6	8	9	5	3	1	3	2	3	7	3	6	4	1	3	6	8	5	4	7	5	4	11	2	6	1	4	0	4	3	7	2	4	6	3	6	9	5	5	5	8	5	5	4	5	4	1	5	4	4	3	2	5	2	4	5	4	7	7	4	2	3
D300423_bin_000014	0	0	0	0	0	1	2	5	1	0	2	6	2	3	6	2	1	1	6	2	1	2	1	1	5	4	1	1	3	4	2	12	4	1	6	4	2	2	2	0	6	5	2	6	2	2	3	3	4	6	0	1	3	4	3	1	2	1	1	1	2	2	1	2	2	3	5	3	1	2	1	1	2	1	2	4	3	5	3	4	2	3	3	7	1	4	4	3	1	2	4	11	3	4	11	0	7	9	5	6	2	8	3	2	2	4	4	3	1	2	10	1	8	7	3	3	0	6	1	2	7	3	6	1	2	3	4	3	4	3	7	4	3	6	5	4	0	1	0	4	2	9	6	1	2	3	2	2	3	2	4	6	0	7	1	7	1	3	6	1	3	3	1	7	1	3	7	0	6	1	1	1	2
D300425_bin_000002	0	0	0	0	0	0	3	3	3	2	3	5	3	5	11	3	1	6	3	6	2	5	3	4	5	3	3	4	3	5	8	4	3	4	6	6	6	7	6	1	2	3	0	5	3	5	3	6	5	0	1	6	2	6	5	5	0	1	2	4	3	5	4	1	5	3	4	7	5	2	6	3	1	3	5	1	5	6	5	6	6	3	5	7	2	2	1	3	1	5	4	4	3	1	1	4	4	6	2	4	2	5	3	4	1	5	5	3	3	4	5	4	8	8	3	4	3	2	2	1	5	3	2	5	1	8	3	4	5	2	4	2	5	6	4	6	1	5	4	4	5	6	6	4	6	4	2	4	9	0	4	3	1	3	1	6	3	5	1	2	7	5	2	3	4	3	5	5	3	4	3	3	8
D300428_bin_000005	0	0	0	0	0	0	0	3	2	3	0	5	0	3	2	1	2	2	2	6	0	2	4	3	7	4	0	3	0	2	4	9	4	5	3	4	1	1	2	3	1	4	1	5	2	1	6	5	4	4	1	1	6	7	4	2	4	0	3	1	2	3	2	5	0	4	3	2	3	3	1	3	2	4	4	2	3	4	4	7	1	4	1	1	1	0	0	1	0	2	1	8	0	2	5	3	7	8	5	10	2	4	1	3	2	3	3	5	5	0	5	4	9	7	2	3	1	1	1	3	6	4	5	2	2	1	3	2	5	1	3	4	5	7	2	2	0	4	2	5	4	9	4	1	2	0	1	7	3	2	2	7	1	1	2	4	4	0	6	2	2	1	2	6	1	2	3	2	3	3	1	2	2
D300429_bin_000001	0	0	0	0	0	0	0	0	4	3	4	3	3	3	3	4	1	4	5	5	2	1	3	1	6	6	2	4	2	3	0	7	4	1	2	0	0	2	1	5	0	5	5	9	2	1	1	4	3	8	0	2	4	3	4	0	6	4	3	1	4	1	1	4	3	1	3	1	5	2	4	2	6	2	0	4	0	3	3	4	1	6	3	2	3	6	6	3	5	2	4	9	4	7	4	6	8	11	10	4	2	5	6	7	6	0	4	4	2	4	9	5	12	11	7	5	2	7	3	5	5	7	5	2	5	2	5	2	1	3	6	3	6	11	4	1	1	5	2	4	4	13	3	1	4	1	5	3	3	5	2	4	6	8	6	6	2	4	7	2	2	3	3	8	2	7	7	1	3	0	3	4	3
D300431_bin_000017	0	0	0	0	0	0	0	0	0	4	6	10	9	4	7	5	4	3	5	4	6	8	4	7	11	6	5	6	3	12	3	18	7	4	8	3	2	3	2	2	4	8	1	8	6	5	4	6	10	12	5	7	4	7	8	3	8	1	5	2	8	7	8	6	6	3	3	3	3	4	8	9	2	7	5	4	3	5	3	10	2	9	7	7	4	2	9	8	2	4	5	16	3	3	10	5	12	6	5	9	1	8	7	1	6	5	10	4	3	4	8	6	16	8	4	7	9	13	7	4	5	10	9	3	7	3	7	5	10	5	8	5	5	8	11	2	2	6	7	4	6	17	8	7	4	1	6	6	5	4	3	6	3	8	4	11	5	5	15	1	4	7	3	10	8	6	11	4	6	4	6	4	3
D300432_bin_000001	0	0	0	0	0	0	0	0	0	0	1	3	0	5	3	0	2	0	2	5	1	2	1	3	10	4	1	3	0	1	2	11	5	2	5	3	2	1	1	2	1	4	0	3	2	2	1	4	1	4	1	3	1	3	4	2	3	0	1	1	1	2	4	3	2	0	1	4	3	2	2	4	1	3	2	0	4	3	5	2	1	5	2	3	1	1	1	0	0	5	3	11	1	1	6	1	10	6	4	5	0	5	1	1	1	2	1	2	0	2	6	3	7	6	1	1	1	2	1	2	5	1	2	1	2	1	3	3	2	2	1	2	3	3	1	2	0	1	0	2	2	7	3	1	4	1	2	2	4	2	0	4	1	3	2	4	4	0	7	2	1	3	0	3	2	4	4	1	2	2	1	0	4
D300432_bin_000002	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	1	0	2	3	6	0	2	4	2	5	1	1	2	0	1	4	8	3	2	2	2	1	2	1	2	1	2	0	4	3	1	4	4	3	5	0	0	5	5	4	1	4	0	3	1	3	2	2	2	0	1	1	2	2	3	0	2	2	3	4	0	2	4	4	5	1	3	1	2	0	1	2	1	0	2	1	5	0	3	2	2	5	8	5	7	1	5	0	0	2	2	2	4	2	0	4	4	8	5	1	1	1	3	0	3	7	3	4	1	2	1	3	3	3	3	4	4	5	8	2	3	0	3	2	4	2	8	1	1	2	0	0	4	3	1	0	6	0	0	1	6	3	0	4	1	1	1	1	6	0	1	5	1	2	2	2	3	3
D300433_bin_000005	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	1	2	2	4	7	1	1	3	2	9	5	1	3	1	2	2	9	7	1	3	2	2	3	1	2	3	6	1	9	3	2	3	6	0	5	0	1	2	4	4	2	4	1	3	1	1	1	3	2	2	1	1	3	2	2	3	0	3	3	3	3	2	4	4	3	1	1	2	5	1	1	3	1	1	4	2	8	2	4	1	3	8	8	7	7	1	4	3	2	2	1	4	5	2	0	7	4	8	6	1	3	0	7	1	0	5	3	7	4	4	1	2	3	0	4	2	4	4	10	3	3	0	2	1	3	2	10	4	1	4	1	3	6	2	3	2	5	0	6	1	5	3	3	6	2	0	1	1	8	1	4	5	3	3	2	2	1	3
D300433_bin_000009	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	2	2	4	5	2	1	1	2	2	4	0	0	0	3	3	9	4	4	7	5	1	1	1	4	3	5	0	2	3	1	5	6	5	2	1	1	4	4	6	2	3	0	1	0	1	3	0	3	0	4	1	3	1	1	0	2	0	2	4	0	3	6	4	4	0	6	3	4	2	0	3	3	0	4	3	8	2	1	6	1	6	9	5	7	1	2	0	2	2	4	4	4	3	1	5	3	9	3	2	3	0	1	2	2	6	3	5	0	1	0	2	4	6	1	4	2	3	6	6	3	0	1	0	2	2	8	4	1	4	0	2	7	2	1	0	5	1	2	3	1	3	0	9	1	0	3	1	1	2	4	1	3	3	5	3	1	1
D300437_bin_000010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	2	1	3	4	6	4	1	1	8	6	2	4	3	5	3	9	3	3	5	6	2	3	3	2	5	4	3	5	3	2	5	4	4	5	3	4	7	6	5	2	2	2	3	3	5	3	2	5	3	5	4	3	5	5	3	5	4	3	3	6	3	5	3	4	2	6	6	6	3	1	5	5	2	3	5	13	4	3	7	7	13	11	6	5	3	6	4	4	3	5	6	2	3	2	11	2	12	12	7	8	2	5	3	5	7	5	6	1	4	4	2	5	5	4	5	2	8	5	4	5	3	4	6	4	5	12	8	3	2	4	4	5	3	3	3	3	4	8	5	6	7	3	10	1	2	5	2	4	4	4	6	3	2	1	4	5	4
D300440_bin_000012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	2	3	3	2	4	3	4	6	0	3	3	3	3	10	3	5	4	6	1	1	1	4	5	4	4	8	5	1	6	6	6	3	2	0	6	7	5	1	6	3	4	1	0	6	4	2	0	5	2	2	1	5	2	3	4	4	7	6	3	4	6	10	1	6	3	5	1	3	3	3	2	2	4	9	3	5	7	5	6	7	8	8	2	5	2	3	7	4	4	4	3	2	8	5	5	7	2	6	2	4	1	3	8	6	8	3	2	1	4	4	6	6	4	4	4	9	6	3	3	3	1	7	1	6	5	3	2	0	5	9	2	5	2	6	3	5	5	5	4	4	6	2	3	4	1	8	3	3	6	1	9	2	5	3	1
D300442_bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	8	1	5	2	3	4	3	3	5	0	5	5	4	7	1	6	7	2	4	3	4	2	5	1	8	7	3	2	4	3	1	2	1	4	3	5	3	1	0	3	2	3	2	9	5	2	2	3	4	1	2	3	2	0	8	4	3	3	4	5	4	2	6	5	4	1	4	5	5	0	5	2	10	2	0	2	1	10	7	5	4	2	2	2	5	3	5	4	2	2	5	3	6	12	10	1	3	3	5	6	1	3	8	3	2	8	2	2	4	3	7	4	2	3	3	6	2	2	6	6	3	3	6	2	7	9	3	4	3	5	3	2	4	2	5	2	7	2	1	6	2	3	8	1	6	4	2	2	2	6	5	3	2	4
D300442_bin_000011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	8	1	2	5	6	5	5	4	2	2	4	3	6	2	4	7	2	2	2	2	6	1	7	0	8	3	2	3	2	2	5	1	3	4	6	4	2	4	0	4	1	6	5	3	2	3	3	2	1	0	4	4	2	2	1	3	1	1	5	1	3	2	8	2	4	0	2	3	4	0	5	6	8	5	2	3	3	6	8	6	5	2	8	3	3	3	1	5	3	5	6	6	3	11	7	3	6	3	7	0	2	3	0	4	3	2	3	3	3	2	1	2	2	5	6	3	5	2	3	3	3	4	11	3	5	4	1	2	3	6	2	1	2	0	9	5	7	6	5	6	5	1	1	2	7	5	5	8	2	2	1	3	3	5
D300443_bin_000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	1	2	2	5	5	2	3	2	1	4	7	2	2	6	6	3	1	2	1	1	1	2	3	4	3	2	4	1	1	2	2	2	4	2	2	4	2	0	1	3	3	2	3	1	1	3	4	4	1	1	3	3	3	2	3	4	7	2	0	1	3	2	8	1	1	2	1	3	2	3	9	2	2	9	7	6	9	4	3	1	2	2	4	1	5	0	3	1	2	13	4	10	6	7	4	4	0	1	1	3	2	1	1	2	1	4	3	1	3	3	4	5	0	0	6	1	1	2	2	3	5	5	2	3	2	4	3	4	3	3	6	5	6	3	0	2	5	3	0	2	3	0	2	1	5	1	1	3	5	2	4	3
D300444_bin_000010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	1	5	3	9	4	1	3	1	2	4	8	3	5	3	5	2	2	3	4	2	6	1	6	1	3	2	4	3	5	2	1	2	4	5	2	4	2	5	1	1	2	1	5	0	1	2	5	2	2	1	6	2	4	3	2	5	7	2	4	1	8	2	3	4	3	5	1	1	5	2	9	2	2	5	3	7	11	4	6	2	2	2	4	4	3	2	4	1	0	5	5	8	6	4	2	4	3	3	4	4	4	4	4	3	1	5	7	4	3	5	2	2	9	6	3	0	2	1	2	1	11	7	4	6	2	2	6	3	3	1	3	2	5	3	4	3	1	9	4	1	5	4	5	3	2	4	2	4	6	5	2	1
D300444_bin_000011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	1	5	12	4	5	2	2	9	1	12	7	4	4	4	2	2	2	1	6	6	0	7	5	3	4	4	4	8	1	7	4	5	5	2	5	0	1	1	4	4	4	2	7	3	2	2	2	2	5	3	2	3	2	4	3	5	2	4	2	5	4	7	1	1	5	7	0	4	5	8	4	1	7	4	16	7	7	8	2	7	5	4	1	4	9	5	4	3	6	4	11	7	1	5	5	10	3	2	5	7	8	2	7	3	5	2	4	6	6	1	4	6	9	0	1	2	4	5	3	11	8	5	3	1	7	5	2	2	1	4	2	5	3	5	4	3	14	0	2	6	2	8	2	4	7	2	4	2	4	3	3
D300446_bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	5	5	2	5	0	4	2	9	3	4	5	3	4	4	5	1	2	7	0	8	4	3	1	4	5	5	1	6	1	6	5	4	4	0	4	3	4	2	2	5	6	1	3	3	5	5	5	3	2	4	2	3	3	5	4	3	4	4	4	4	4	3	5	3	0	4	5	7	0	2	6	1	5	10	9	8	3	5	3	4	2	3	3	4	2	2	10	4	11	10	4	5	2	4	3	4	7	4	4	6	7	4	2	4	4	2	5	4	4	9	6	4	1	3	2	3	5	8	7	4	5	3	3	2	6	1	3	7	0	6	2	4	2	4	3	3	2	2	2	7	1	7	5	2	6	3	4	2	5
D300449_bin_000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	11	7	1	4	0	3	2	12	3	5	4	5	2	2	2	4	1	6	1	5	4	2	3	2	4	6	0	1	3	4	4	2	4	1	2	0	2	3	2	4	2	2	6	1	2	3	3	2	2	1	3	2	2	3	2	5	1	1	3	4	3	2	6	4	1	2	2	9	4	1	9	4	10	6	7	6	4	3	2	2	7	3	3	4	3	2	9	4	8	5	3	4	1	4	3	3	9	1	3	3	2	0	3	4	3	3	1	5	4	9	3	8	3	3	2	5	3	5	2	4	1	5	1	7	1	3	7	7	3	5	4	2	2	2	10	2	5	2	3	4	5	6	3	3	5	4	6	4	2
D300449_bin_000011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	5	5	3	4	8	3	13	4	6	4	5	3	2	3	1	2	6	3	8	8	3	2	1	2	6	2	5	3	6	4	3	7	2	3	1	7	3	8	4	5	1	4	3	3	3	7	4	4	6	2	6	3	5	5	1	5	3	8	6	2	3	6	5	2	4	3	15	3	4	9	5	13	12	7	5	2	6	4	3	5	2	8	2	4	2	9	0	8	11	5	5	8	11	4	5	6	6	3	2	7	5	6	3	1	8	2	6	6	9	9	5	1	5	8	5	3	10	5	9	5	3	5	6	5	4	4	5	6	6	6	12	8	3	14	3	5	7	1	11	4	4	8	2	1	1	4	4	4
D300450_bin_000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	2	4	2	4	1	8	4	2	1	3	1	1	1	5	2	2	2	8	8	1	1	1	3	5	1	3	2	0	3	1	2	1	4	0	5	2	5	2	5	3	3	3	1	4	2	4	2	5	2	5	1	2	1	4	0	2	6	4	2	3	7	4	1	3	3	12	4	1	7	3	11	8	11	3	2	6	3	2	0	1	5	5	4	1	5	2	10	10	4	2	6	8	5	5	5	6	1	0	7	0	1	3	3	11	1	1	2	3	6	3	4	4	4	3	5	9	4	4	3	2	3	0	2	4	2	5	2	4	5	10	3	3	8	4	3	4	0	8	4	2	6	1	3	1	2	3	1
D300451_bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	8	4	6	4	6	9	4	5	7	3	4	4	5	7	7	3	2	6	5	7	8	10	3	2	7	6	5	7	2	5	2	6	2	7	4	3	8	6	7	3	3	3	7	4	6	4	7	8	1	2	3	4	8	3	4	1	4	7	1	5	8	1	3	5	3	5	4	3	1	5	9	9	8	4	1	0	4	4	7	6	3	7	7	1	7	8	4	3	8	3	2	7	3	3	9	12	4	4	2	3	5	9	5	7	5	6	4	7	4	3	2	4	2	3	2	7	5	4	2	5	4	6	6	1	7	3	8	3	3	7	4	3	3	2	6	4	2	4	8	1	1	4	5	5	3	5
D300455_bin_000019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	6	4	16	5	3	6	7	3	4	2	2	1	7	2	9	6	3	2	4	5	11	3	5	2	7	7	3	8	1	2	2	3	3	4	3	5	2	6	4	4	2	6	4	4	1	1	5	3	10	4	4	3	3	4	9	4	3	5	3	1	5	4	11	5	2	7	5	9	9	7	12	2	8	7	4	6	3	6	4	2	3	5	5	15	11	4	6	5	9	6	4	6	6	6	2	3	3	6	5	5	4	5	4	9	8	7	2	2	2	5	4	5	13	6	3	3	3	5	5	5	4	5	5	6	6	3	10	6	6	12	0	5	6	2	12	5	4	9	4	5	0	1	3	3
D300457_bin_000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	4	7	4	2	6	4	2	3	2	3	3	7	1	4	3	4	0	3	3	2	0	2	2	7	6	2	3	1	5	3	3	1	2	3	2	2	1	5	3	3	1	3	1	4	7	1	4	6	5	4	3	2	5	3	2	1	4	3	1	6	3	6	1	2	4	1	7	9	7	6	2	3	1	4	5	3	2	6	2	3	6	3	9	6	3	4	3	3	2	1	7	5	4	4	4	4	2	4	2	3	3	4	2	9	3	3	1	4	3	4	2	4	4	4	3	1	3	7	6	3	1	5	1	2	3	3	2	2	6	3	2	3	2	4	3	4	5	1	6	3	4	1	3
D300458_bin_000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	8	3	2	6	5	2	2	1	2	6	3	1	4	5	2	5	6	4	3	3	3	4	6	2	3	5	0	0	1	0	3	2	0	2	4	2	3	3	2	5	2	2	2	6	2	5	3	3	6	2	5	3	9	0	1	3	3	0	3	3	5	2	2	4	3	11	4	4	8	1	3	2	2	4	3	5	2	2	2	6	3	9	3	2	3	0	4	0	2	7	2	4	1	1	2	5	2	4	2	5	4	6	8	5	4	1	2	0	3	1	10	5	1	3	1	4	4	3	3	1	5	2	1	2	3	3	2	12	0	1	5	1	4	1	1	4	2	5	2	2	2	3
D300458_bin_000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	2	4	2	2	3	2	1	2	2	1	2	2	3	1	1	3	0	1	2	1	5	3	2	2	0	1	1	0	2	1	0	1	2	0	4	3	1	3	0	1	0	4	2	1	2	2	1	2	2	3	1	1	0	0	0	1	3	1	4	2	2	4	1	6	2	4	2	1	2	3	2	1	1	2	2	2	1	3	0	5	6	3	0	2	0	1	1	3	0	3	2	0	3	2	3	2	1	1	0	3	2	1	3	0	1	2	2	1	2	1	2	3	2	1	4	2	3	0	2	2	2	0	3	2	0	1	1	5	3	1	1	3	1	2	3	1	1	3	2	4
D300458_bin_000017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	4	2	2	4	1	5	2	6	3	3	3	6	2	2	2	5	7	6	4	0	5	8	5	3	7	2	3	1	2	4	5	3	0	2	3	2	2	6	0	5	6	5	4	3	2	4	4	8	1	3	2	2	1	4	3	2	2	3	2	10	4	5	5	3	4	9	7	6	2	6	0	6	3	2	1	6	2	1	7	4	12	10	2	4	2	4	2	4	8	3	1	1	1	1	5	5	7	2	3	5	4	8	4	3	2	3	2	5	1	8	3	3	3	0	3	6	4	3	4	6	3	3	4	7	4	1	5	2	2	1	2	6	2	2	7	2	5	4	3	1	3
D300458_bin_000021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	2	4	1	2	4	3	5	4	4	7	12	9	1	1	2	3	7	1	4	2	5	3	2	5	3	3	2	6	1	4	2	5	2	4	2	2	3	5	4	6	5	3	11	1	4	3	5	2	6	9	1	2	9	11	5	3	4	6	17	2	5	10	6	11	7	6	4	3	6	5	0	8	2	7	5	1	6	6	3	12	15	5	7	7	10	6	5	7	7	2	1	8	2	3	2	3	8	5	5	4	11	10	4	2	6	6	10	1	9	2	9	7	3	5	7	4	8	4	4	7	7	7	13	5	4	9	3	6	4	3	12	5	5	11	2	2	3	4	6	6
D300459_bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	4	9	5	6	5	5	4	7	2	9	12	4	6	3	5	6	5	6	7	8	7	4	2	2	4	3	5	4	7	5	7	4	5	7	4	6	7	6	2	9	8	2	6	10	5	10	5	5	10	9	1	5	9	7	3	7	5	12	6	1	3	1	7	8	8	6	4	4	1	5	7	9	8	4	6	5	5	7	11	11	3	3	8	12	5	6	5	8	5	6	8	5	6	5	5	8	4	5	8	6	10	7	5	11	5	7	3	10	8	7	9	3	4	8	4	4	3	7	5	4	4	9	5	5	6	5	5	10	3	6	6	6	6	3	5	6	3	6	7
D300463_bin_000012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	2	6	1	2	5	0	5	1	7	2	1	4	3	4	5	0	2	6	6	5	5	3	1	4	1	3	3	1	2	3	3	3	3	0	6	3	4	2	2	3	1	4	8	0	6	2	7	2	4	1	3	4	4	1	3	5	7	2	2	1	3	8	5	9	7	1	3	1	4	2	2	4	1	3	3	2	4	11	6	2	4	2	4	1	2	7	2	2	2	2	1	1	4	5	3	1	2	3	10	4	5	2	2	3	4	3	9	1	5	2	3	3	3	5	2	3	1	2	6	3	3	2	3	7	5	1	1	1	6	4	5	3	4	2	4	3	4	5
