genome	count
D300423:bin_000011	8413
D300423:bin_000014	16827
D300431:bin_000017	8003
D300432:bin_000002	58454
D300433:bin_000005	76288
D300433:bin_000009	30323
D300442:bin_000011	5925
D300444:bin_000010	13718
D300444:bin_000011	14921
D300446:bin_000001	13156
D300449:bin_000011	24851
D300451:bin_000001	9966
D300457:bin_000005	27537
D300459:bin_000001	12332
D300472:bin_000003	4622
D300476:bin_000013	6810
D300477:bin_000001	17881
D300479:bin_000012	12224
D300491:bin_000007	6238
D300492:bin_000002	5166
D300492:bin_000003	16670
D300495:bin_000003	4546
D300498:bin_000001	7237
D300508:bin_000006	11120
D300513:bin_000002	6445
D300514:bin_000001	8065
D300514:bin_000005	6164
D300519:bin_000004	16811
D300522:bin_000007	4562
D300525:bin_000012	10549
TG2_35:bin_000003	32309
TG2_35:bin_000021	5600
TG5_21:bin_000003	5116
TG5_21:bin_000004	10118
