genome	count
D300423:bin_000011	40384
D300423:bin_000014	80771
D300431:bin_000017	38416
D300432:bin_000002	280579
D300433:bin_000005	366184
D300433:bin_000009	145548
D300442:bin_000011	28439
D300444:bin_000010	65844
D300444:bin_000011	71621
D300446:bin_000001	63147
D300449:bin_000011	119285
D300451:bin_000001	47838
D300457:bin_000005	132180
D300459:bin_000001	59193
D300472:bin_000003	22186
D300476:bin_000013	32687
D300477:bin_000001	85830
D300479:bin_000012	58676
D300491:bin_000007	29945
D300492:bin_000002	24796
D300492:bin_000003	80017
D300495:bin_000003	21821
D300498:bin_000001	34739
D300508:bin_000006	53374
D300513:bin_000002	30938
D300514:bin_000001	38713
D300514:bin_000005	29585
D300519:bin_000004	80691
D300522:bin_000007	21897
D300525:bin_000012	50637
TG2_35:bin_000003	155083
TG2_35:bin_000021	26878
TG5_21:bin_000003	24556
TG5_21:bin_000004	48567
